"";"Age";"SAT";"Score"
"nbr.val";26;30;30
"nbr.null";0;0;0
"nbr.na";4;0;0
"min";18;1338;63
"max";39;2309;95,8825145878317
"range";21;971;32,8825145878317
"sum";636;55480;2412,02744458131
"median";21;1817;79,7496799676557
"mean";24,4615384615385;1849,33333333333;80,400914819377
"SE.mean";1,39364576586379;50,2118347851423;1,84508449907013
"CI.mean.0.95";2,87026718367786;102,694732888443;3,7736215097378
"var";50,4984615384615;75636,8505747126;102,130104261266
"std.dev";7,10622695517541;275,02154565545;10,1059440064383
"coef.var";0,290506133387674;0,148713885538275;0,125694390780772
